type,ndcnum,Strength_Per_Unit,MME_Conversion_Factor
Hydrocodone,55045292108,10,1
Hydrocodone,55045292109,10,1
Hydrocodone,55045293507,2.5,1
Hydrocodone,55045301000,7.5,1
Hydrocodone,55045301001,7.5,1
Hydrocodone,55045301002,7.5,1
Hydrocodone,55045301003,7.5,1
Hydrocodone,55045301004,7.5,1
Hydrocodone,55045301006,7.5,1
Hydrocodone,55045301007,7.5,1
Hydrocodone,55045301008,7.5,1
Hydrocodone,55045301009,7.5,1
Hydrocodone,55045305701,7.5,1
Hydrocodone,55045305702,7.5,1
Hydrocodone,55045305704,7.5,1
Hydrocodone,55045305705,7.5,1
Hydrocodone,55045305706,7.5,1
Hydrocodone,55045305708,7.5,1
Hydrocodone,55045305709,7.5,1
Hydrocodone,55045309800,5,1
Hydrocodone,55045309801,5,1
Hydrocodone,55045309804,5,1
Hydrocodone,55045309806,5,1
Hydrocodone,55045309808,5,1
Hydrocodone,55045312500,5,1
Hydrocodone,55045312502,5,1
Hydrocodone,55045312503,5,1
Hydrocodone,55045312504,5,1
Hydrocodone,55045312505,5,1
Hydrocodone,55045312508,5,1
Hydrocodone,55045312509,5,1
Hydrocodone,55045315101,7.5,1
Hydrocodone,55045315102,7.5,1
Hydrocodone,55045315103,7.5,1
Hydrocodone,55045315104,7.5,1
Hydrocodone,55045315108,7.5,1
Hydrocodone,55045326508,10,1
Hydrocodone,55045326509,10,1
Hydrocodone,55045330403,10,1
Hydrocodone,55045330404,10,1
Hydrocodone,55045333001,7.5,1
Hydrocodone,55045333005,7.5,1
Hydrocodone,55045333101,5,1
Hydrocodone,55045371301,10,1
Hydrocodone,55045371302,10,1
Hydrocodone,55045371401,10,1
Hydrocodone,55045371501,5,1
Hydrocodone,55045375206,10,1
Hydrocodone,55045375306,10,1
Hydrocodone,55045375508,5,1
Hydrocodone,55048035800,5,1
Hydrocodone,55048035806,5,1
Hydrocodone,55048035812,5,1
Hydrocodone,55048035815,5,1
Hydrocodone,55048035820,5,1
Hydrocodone,55048035830,5,1
Hydrocodone,55048035845,5,1
Hydrocodone,55048035860,5,1
Hydrocodone,55048035871,5,1
Hydrocodone,55048035890,5,1
Hydrocodone,55048035900,10,1
Hydrocodone,55048035920,10,1
Hydrocodone,55048035930,10,1
Hydrocodone,55048035960,10,1
Hydrocodone,55048035971,10,1
Hydrocodone,55048035973,10,1
Hydrocodone,55048035974,10,1
Hydrocodone,55048035990,10,1
Hydrocodone,55048036015,7.5,1
Hydrocodone,55048036030,7.5,1
Hydrocodone,55048036071,7.5,1
Hydrocodone,55048036090,7.5,1
Hydrocodone,55048036130,7.5,1
Hydrocodone,55048036215,7.5,1
Hydrocodone,55048036220,7.5,1
Hydrocodone,55048036230,7.5,1
Hydrocodone,55048036240,7.5,1
Hydrocodone,55048036260,7.5,1
Hydrocodone,55048036271,7.5,1
Hydrocodone,55048036273,7.5,1
Hydrocodone,55048036290,7.5,1
Hydrocodone,55048036330,10,1
Hydrocodone,55048036360,10,1
Hydrocodone,55048036371,10,1
Hydrocodone,55048036373,10,1
Hydrocodone,55048036374,10,1
Hydrocodone,55048036430,7.5,1
Hydrocodone,55048036460,7.5,1
Hydrocodone,55048036471,7.5,1
Hydrocodone,55048036490,7.5,1
Hydrocodone,55048036520,5,1
Hydrocodone,55048036530,5,1
Hydrocodone,55048036560,5,1
Hydrocodone,55048036590,5,1
Hydrocodone,55048043000,10,1
Hydrocodone,55048043030,10,1
Hydrocodone,55048043045,10,1
Hydrocodone,55048043060,10,1
Hydrocodone,55048043071,10,1
Hydrocodone,55048043090,10,1
Hydrocodone,55048047920,5,1
Hydrocodone,55048047930,5,1
Hydrocodone,55048047940,5,1
Hydrocodone,55048047960,5,1
Hydrocodone,55048048020,10,1
Hydrocodone,55048048030,10,1
Hydrocodone,55048048040,10,1
Hydrocodone,55048048060,10,1
Hydrocodone,55048048160,7.5,1
Hydrocodone,55048063690,10,1
Hydrocodone,55081026600,5,1
Hydrocodone,55081026601,5,1
Hydrocodone,55081026602,5,1
Hydrocodone,55081026603,5,1
Hydrocodone,55081026604,5,1
Hydrocodone,55081026605,5,1
Hydrocodone,55081026607,5,1
Hydrocodone,55175031800,5,1
Hydrocodone,55175031801,5,1
Hydrocodone,55175031802,5,1
Hydrocodone,55175031803,5,1
Hydrocodone,55175031804,5,1
Hydrocodone,55175031805,5,1
Hydrocodone,55175031806,5,1
Hydrocodone,55175031807,5,1
Hydrocodone,55175031808,5,1
Hydrocodone,55175031809,5,1
Hydrocodone,55175069802,5,1
Hydrocodone,55175211000,7.5,1
Hydrocodone,55175269900,7.5,1
Hydrocodone,55175273500,7.5,1
Hydrocodone,55175273501,7.5,1
Hydrocodone,55175273502,7.5,1
Hydrocodone,55175273503,7.5,1
Hydrocodone,55175273505,7.5,1
Hydrocodone,55175273602,10,1
Hydrocodone,55175273701,10,1
Hydrocodone,55175273702,10,1
Hydrocodone,55289011612,5,1
Hydrocodone,55289013701,5,1
Hydrocodone,55289013706,5,1
Hydrocodone,55289013710,5,1
Hydrocodone,55289013712,5,1
Hydrocodone,55289013715,5,1
Hydrocodone,55289013718,5,1
Hydrocodone,55289013720,5,1
Hydrocodone,55289013724,5,1
Hydrocodone,55289013725,5,1
Hydrocodone,55289013730,5,1
Hydrocodone,55289013740,5,1
Hydrocodone,55289013760,5,1
Hydrocodone,55289013790,5,1
Hydrocodone,55289013797,5,1
Hydrocodone,55289013798,5,1
Hydrocodone,55289026810,7.5,1
Hydrocodone,55289026815,7.5,1
Hydrocodone,55289026820,7.5,1
Hydrocodone,55289026830,7.5,1
Hydrocodone,55289026845,7.5,1
Hydrocodone,55289026860,7.5,1
Hydrocodone,55289026890,7.5,1
Hydrocodone,55289026898,7.5,1
Hydrocodone,55289031101,10,1
Hydrocodone,55289031120,10,1
Hydrocodone,55289031130,10,1
Hydrocodone,55289031150,10,1
Hydrocodone,55289031160,10,1
Hydrocodone,55289031190,10,1
Hydrocodone,55289031198,10,1
Hydrocodone,55289036001,7.5,1
Hydrocodone,55289036006,7.5,1
Hydrocodone,55289036012,7.5,1
Hydrocodone,55289036015,7.5,1
Hydrocodone,55289036016,7.5,1
Hydrocodone,55289036020,7.5,1
Hydrocodone,55289036024,7.5,1
Hydrocodone,55289036030,7.5,1
Hydrocodone,55289036060,7.5,1
Hydrocodone,55289036090,7.5,1
Hydrocodone,55289037415,7.5,1
Hydrocodone,55289037420,7.5,1
Hydrocodone,55289040720,10,1
Hydrocodone,55289051406,5,1
Hydrocodone,55289051412,5,1
Hydrocodone,55289051415,5,1
Hydrocodone,55289051430,5,1
Hydrocodone,55289053415,7.5,1
Hydrocodone,55289053490,7.5,1
Hydrocodone,55289064830,10,1
Hydrocodone,55289065130,10,1
Hydrocodone,55289073701,10,1
Hydrocodone,55289073706,10,1
Hydrocodone,55289073715,10,1
Hydrocodone,55289073720,10,1
Hydrocodone,55289073721,10,1
Hydrocodone,55289073730,10,1
Hydrocodone,55289073740,10,1
Hydrocodone,55289073756,10,1
Hydrocodone,55289073760,10,1
Hydrocodone,55289073784,10,1
Hydrocodone,55289073788,10,1
Hydrocodone,55289073790,10,1
Hydrocodone,55289073793,10,1
Hydrocodone,55289073798,10,1
Hydrocodone,55289080212,7.5,1
Hydrocodone,55289080220,7.5,1
Hydrocodone,55289080230,7.5,1
Hydrocodone,55289080260,7.5,1
Hydrocodone,55289080290,7.5,1
Hydrocodone,55289084710,5,1
Hydrocodone,55289084720,5,1
Hydrocodone,55289084910,7.5,1
Hydrocodone,55289084920,7.5,1
Hydrocodone,55289089415,5,1
Hydrocodone,55289096501,10,1
Hydrocodone,55289096530,10,1
Hydrocodone,55289096540,10,1
Hydrocodone,55289096560,10,1
Hydrocodone,55289096598,10,1
Hydrocodone,55289099702,5,1
Hydrocodone,55289099704,5,1
Hydrocodone,55289099706,5,1
Hydrocodone,55289099710,5,1
Hydrocodone,55289099712,5,1
Hydrocodone,55289099715,5,1
Hydrocodone,55289099720,5,1
Hydrocodone,55289099730,5,1
Hydrocodone,55289099740,5,1
Hydrocodone,55289099756,5,1
Hydrocodone,55289099760,5,1
Hydrocodone,55289099784,5,1
Hydrocodone,55289099788,5,1
Hydrocodone,55289099790,5,1
Hydrocodone,55700017001,10,1
Hydrocodone,55700017008,10,1
Hydrocodone,55700017030,10,1
Hydrocodone,55700017040,10,1
Hydrocodone,55700017060,10,1
Hydrocodone,55700017090,10,1
Hydrocodone,55700021608,2.5,1
Hydrocodone,55700021630,2.5,1
Hydrocodone,55700021660,2.5,1
Hydrocodone,55700021690,2.5,1
Hydrocodone,55700022001,5,1
Hydrocodone,55700022006,5,1
Hydrocodone,55700022008,5,1
Hydrocodone,55700022030,5,1
Hydrocodone,55700022040,5,1
Hydrocodone,55700022060,5,1
Hydrocodone,55700022090,5,1
Hydrocodone,55700022401,10,1
Hydrocodone,55700022408,10,1
Hydrocodone,55700022430,10,1
Hydrocodone,55700022440,10,1
Hydrocodone,55700022460,10,1
Hydrocodone,55700022490,10,1
Hydrocodone,55700026000,10,1
Hydrocodone,55700026001,10,1
Hydrocodone,55700026008,10,1
Hydrocodone,55700026015,10,1
Hydrocodone,55700026030,10,1
Hydrocodone,55700026040,10,1
Hydrocodone,55700026060,10,1
Hydrocodone,55700026090,10,1
Hydrocodone,55700026101,5,1
Hydrocodone,55700026106,5,1
Hydrocodone,55700026108,5,1
Hydrocodone,55700026110,5,1
Hydrocodone,55700026112,5,1
Hydrocodone,55700026115,5,1
Hydrocodone,55700026120,5,1
Hydrocodone,55700026130,5,1
Hydrocodone,55700026140,5,1
Hydrocodone,55700026160,5,1
Hydrocodone,55700026190,5,1
Hydrocodone,55700026201,7.5,1
Hydrocodone,55700026208,7.5,1
Hydrocodone,55700026215,7.5,1
Hydrocodone,55700026230,7.5,1
Hydrocodone,55700026240,7.5,1
Hydrocodone,55700026260,7.5,1
Hydrocodone,55700026290,7.5,1
Hydrocodone,55829084910,5,1
Hydrocodone,55887029510,5,1
Hydrocodone,55887029512,5,1
Hydrocodone,55887029515,5,1
Hydrocodone,55887029520,5,1
Hydrocodone,55887029525,5,1
Hydrocodone,55887029530,5,1
Hydrocodone,55887029540,5,1
Hydrocodone,55887029550,5,1
Hydrocodone,55887029560,5,1
Hydrocodone,55887029570,5,1
Hydrocodone,55887029580,5,1
Hydrocodone,55887029582,5,1
Hydrocodone,55887029590,5,1
Hydrocodone,55887041320,2.5,1
Hydrocodone,55887041330,2.5,1
Hydrocodone,55887041360,2.5,1
Hydrocodone,55887041382,2.5,1
Hydrocodone,55887041390,2.5,1
Hydrocodone,55887044301,10,1
Hydrocodone,55887044321,10,1
Hydrocodone,55887044325,10,1
Hydrocodone,55887044330,10,1
Hydrocodone,55887044340,10,1
Hydrocodone,55887044345,10,1
Hydrocodone,55887044350,10,1
Hydrocodone,55887044360,10,1
Hydrocodone,55887044382,10,1
Hydrocodone,55887044390,10,1
Hydrocodone,55887044392,10,1
Hydrocodone,55887044430,7.5,1
Hydrocodone,55887044460,7.5,1
Hydrocodone,55887044482,7.5,1
Hydrocodone,55887044490,7.5,1
Hydrocodone,55887044712,7.5,1
Hydrocodone,55887044714,7.5,1
Hydrocodone,55887044720,7.5,1
Hydrocodone,55887044730,7.5,1
Hydrocodone,55887044740,7.5,1
Hydrocodone,55887044745,7.5,1
Hydrocodone,55887044750,7.5,1
Hydrocodone,55887044760,7.5,1
Hydrocodone,55887044782,7.5,1
Hydrocodone,55887044790,7.5,1
Hydrocodone,55887053801,10,1
Hydrocodone,55887053810,10,1
Hydrocodone,55887053812,10,1
Hydrocodone,55887053815,10,1
Hydrocodone,55887053820,10,1
Hydrocodone,55887053828,10,1
Hydrocodone,55887053830,10,1
Hydrocodone,55887053832,10,1
Hydrocodone,55887053840,10,1
Hydrocodone,55887053845,10,1
Hydrocodone,55887053850,10,1
Hydrocodone,55887053860,10,1
Hydrocodone,55887053882,10,1
Hydrocodone,55887053890,10,1
Hydrocodone,55887053892,10,1
Hydrocodone,55887062310,7.5,1
Hydrocodone,55887062312,7.5,1
Hydrocodone,55887062314,7.5,1
Hydrocodone,55887062315,7.5,1
Hydrocodone,55887062316,7.5,1
Hydrocodone,55887062320,7.5,1
Hydrocodone,55887062324,7.5,1
Hydrocodone,55887062330,7.5,1
Hydrocodone,55887062340,7.5,1
Hydrocodone,55887062350,7.5,1
Hydrocodone,55887062360,7.5,1
Hydrocodone,55887062382,7.5,1
Hydrocodone,55887062390,7.5,1
Hydrocodone,55887065215,5,1
Hydrocodone,55887067910,10,1
Hydrocodone,55887067915,10,1
Hydrocodone,55887067920,10,1
Hydrocodone,55887067921,10,1
Hydrocodone,55887067930,10,1
Hydrocodone,55887067932,10,1
Hydrocodone,55887067940,10,1
Hydrocodone,55887067950,10,1
Hydrocodone,55887067960,10,1
Hydrocodone,55887067982,10,1
Hydrocodone,55887067986,10,1
Hydrocodone,55887067990,10,1
Hydrocodone,55887067992,10,1
Hydrocodone,55887068010,7.5,1
Hydrocodone,55887068012,7.5,1
Hydrocodone,55887068015,7.5,1
Hydrocodone,55887068016,7.5,1
Hydrocodone,55887068020,7.5,1
Hydrocodone,55887068030,7.5,1
Hydrocodone,55887068040,7.5,1
Hydrocodone,55887068045,7.5,1
Hydrocodone,55887068060,7.5,1
Hydrocodone,55887068082,7.5,1
Hydrocodone,55887068090,7.5,1
Hydrocodone,55887095206,5,1
Hydrocodone,55887095210,5,1
Hydrocodone,55887095212,5,1
Hydrocodone,55887095213,5,1
Hydrocodone,55887095215,5,1
Hydrocodone,55887095216,5,1
Hydrocodone,55887095220,5,1
Hydrocodone,55887095225,5,1
Hydrocodone,55887095230,5,1
Hydrocodone,55887095240,5,1
Hydrocodone,55887095245,5,1
Hydrocodone,55887095250,5,1
Hydrocodone,55887095260,5,1
Hydrocodone,55887095282,5,1
Hydrocodone,55887095290,5,1
Hydrocodone,57424025232,5,1
Hydrocodone,57480051801,7.5,1
Hydrocodone,57480051806,7.5,1
Hydrocodone,57480051901,7.5,1
Hydrocodone,57480051906,7.5,1
Hydrocodone,57664011113,10,1
Hydrocodone,57664011188,10,1
Hydrocodone,57664012613,5,1
Hydrocodone,57664012688,5,1
Hydrocodone,57664017013,7.5,1
Hydrocodone,57664017088,7.5,1
Hydrocodone,57664017613,10,1
Hydrocodone,57664017688,10,1
Hydrocodone,57866016001,7.5,1
Hydrocodone,57866016002,7.5,1
Hydrocodone,57866016003,7.5,1
Hydrocodone,57866017601,7.5,1
Hydrocodone,57866018001,10,1
Hydrocodone,57866191601,10,1
Hydrocodone,57866305801,5,1
Hydrocodone,57866305802,5,1
Hydrocodone,57866305803,5,1
Hydrocodone,57866316902,10,1
Hydrocodone,57866317101,10,1
Hydrocodone,57866317102,10,1
Hydrocodone,57866317103,10,1
Hydrocodone,57866317104,10,1
Hydrocodone,57866391401,5,1
Hydrocodone,57866391402,5,1
Hydrocodone,57866391403,5,1
Hydrocodone,57866391404,5,1
Hydrocodone,57866391405,5,1
Hydrocodone,57866391408,5,1
Hydrocodone,57866391500,7.5,1
Hydrocodone,57866391501,7.5,1
Hydrocodone,57866391502,7.5,1
Hydrocodone,57866391503,7.5,1
Hydrocodone,57866391504,7.5,1
Hydrocodone,57866391505,7.5,1
Hydrocodone,57866391602,10,1
Hydrocodone,57866391603,10,1
Hydrocodone,57866391604,10,1
Hydrocodone,57866391605,10,1
Hydrocodone,57866391701,10,1
Hydrocodone,57866391702,10,1
Hydrocodone,57866391703,10,1
Hydrocodone,57866391704,10,1
Hydrocodone,57866391705,10,1
Hydrocodone,57866550700,7.5,1
Hydrocodone,57866550701,7.5,1
Hydrocodone,57866550801,7.5,1
Hydrocodone,57866550802,7.5,1
Hydrocodone,57866550803,7.5,1
Hydrocodone,57866550804,7.5,1
Hydrocodone,57866550805,7.5,1
Hydrocodone,57866550806,7.5,1
Hydrocodone,58016006300,5,1
Hydrocodone,58016006330,5,1
Hydrocodone,58016006360,5,1
Hydrocodone,58016006390,5,1
Hydrocodone,58016006700,10,1
Hydrocodone,58016006730,10,1
Hydrocodone,58016006760,10,1
Hydrocodone,58016006790,10,1
Hydrocodone,58016007700,7.5,1
Hydrocodone,58016007730,7.5,1
Hydrocodone,58016007760,7.5,1
Hydrocodone,58016007790,7.5,1
Hydrocodone,58016009000,5,1
Hydrocodone,58016009030,5,1
Hydrocodone,58016009060,5,1
Hydrocodone,58016009090,5,1
Hydrocodone,58016009400,10,1
Hydrocodone,58016009430,10,1
Hydrocodone,58016009460,10,1
Hydrocodone,58016009490,10,1
Hydrocodone,58016009500,7.5,1
Hydrocodone,58016009530,7.5,1
Hydrocodone,58016009560,7.5,1
Hydrocodone,58016009590,7.5,1
Hydrocodone,58016009600,10,1
Hydrocodone,58016009630,10,1
Hydrocodone,58016009660,10,1
Hydrocodone,58016009690,10,1
Hydrocodone,58016019112,5,1
Hydrocodone,58016019210,7.5,1
Hydrocodone,58016019216,7.5,1
Hydrocodone,58016019220,7.5,1
Hydrocodone,58016019500,7.5,1
Hydrocodone,58016019502,7.5,1
Hydrocodone,58016019503,7.5,1
Hydrocodone,58016019510,7.5,1
Hydrocodone,58016019512,7.5,1
Hydrocodone,58016019515,7.5,1
Hydrocodone,58016019520,7.5,1
Hydrocodone,58016019525,7.5,1
Hydrocodone,58016019530,7.5,1
Hydrocodone,58016019550,7.5,1
Hydrocodone,58016019560,7.5,1
Hydrocodone,58016019573,7.5,1
Hydrocodone,58016019589,7.5,1
Hydrocodone,58016019590,7.5,1
Hydrocodone,58016022900,10,1
Hydrocodone,58016022902,10,1
Hydrocodone,58016022903,10,1
Hydrocodone,58016022904,10,1
Hydrocodone,58016022910,10,1
Hydrocodone,58016022914,10,1
Hydrocodone,58016022920,10,1
Hydrocodone,58016022921,10,1
Hydrocodone,58016022928,10,1
Hydrocodone,58016022930,10,1
Hydrocodone,58016022940,10,1
Hydrocodone,58016022950,10,1
Hydrocodone,58016022956,10,1
Hydrocodone,58016022960,10,1
Hydrocodone,58016022973,10,1
Hydrocodone,58016022980,10,1
Hydrocodone,58016022984,10,1
Hydrocodone,58016022989,10,1
Hydrocodone,58016022990,10,1
Hydrocodone,58016022991,10,1
Hydrocodone,58016022992,10,1
Hydrocodone,58016022993,10,1
Hydrocodone,58016022999,10,1
Hydrocodone,58016023200,10,1
Hydrocodone,58016023202,10,1
Hydrocodone,58016023203,10,1
Hydrocodone,58016023206,10,1
Hydrocodone,58016023210,10,1
Hydrocodone,58016023212,10,1
Hydrocodone,58016023215,10,1
Hydrocodone,58016023220,10,1
Hydrocodone,58016023225,10,1
Hydrocodone,58016023226,10,1
Hydrocodone,58016023230,10,1
Hydrocodone,58016023240,10,1
Hydrocodone,58016023250,10,1
Hydrocodone,58016023260,10,1
Hydrocodone,58016023273,10,1
Hydrocodone,58016023289,10,1
Hydrocodone,58016023290,10,1
Hydrocodone,58016023297,10,1
Hydrocodone,58016023900,7.5,1
Hydrocodone,58016023902,7.5,1
Hydrocodone,58016023903,7.5,1
Hydrocodone,58016023906,7.5,1
Hydrocodone,58016023910,7.5,1
Hydrocodone,58016023912,7.5,1
Hydrocodone,58016023915,7.5,1
Hydrocodone,58016023920,7.5,1
Hydrocodone,58016023925,7.5,1
Hydrocodone,58016023930,7.5,1
Hydrocodone,58016023940,7.5,1
Hydrocodone,58016023960,7.5,1
Hydrocodone,58016023973,7.5,1
Hydrocodone,58016023989,7.5,1
Hydrocodone,58016023990,7.5,1
Hydrocodone,58016027600,5,1
Hydrocodone,58016027602,5,1
Hydrocodone,58016027603,5,1
Hydrocodone,58016027606,5,1
Hydrocodone,58016027609,5,1
Hydrocodone,58016027610,5,1
Hydrocodone,58016027612,5,1
Hydrocodone,58016027614,5,1
Hydrocodone,58016027615,5,1
Hydrocodone,58016027616,5,1
Hydrocodone,58016027618,5,1
Hydrocodone,58016027620,5,1
Hydrocodone,58016027624,5,1
Hydrocodone,58016027625,5,1
Hydrocodone,58016027627,5,1
Hydrocodone,58016027628,5,1
Hydrocodone,58016027630,5,1
Hydrocodone,58016027636,5,1
Hydrocodone,58016027640,5,1
Hydrocodone,58016027642,5,1
Hydrocodone,58016027645,5,1
Hydrocodone,58016027650,5,1
Hydrocodone,58016027656,5,1
Hydrocodone,58016027660,5,1
Hydrocodone,58016027667,5,1
Hydrocodone,58016027671,5,1
Hydrocodone,58016027673,5,1
Hydrocodone,58016027680,5,1
Hydrocodone,58016027684,5,1
Hydrocodone,58016027689,5,1
Hydrocodone,58016027690,5,1
Hydrocodone,58016027692,5,1
Hydrocodone,58016027699,5,1
Hydrocodone,58016036916,7.5,1
Hydrocodone,58016043600,2.5,1
Hydrocodone,58016043602,2.5,1
Hydrocodone,58016043603,2.5,1
Hydrocodone,58016043630,2.5,1
Hydrocodone,58016043660,2.5,1
Hydrocodone,58016043690,2.5,1
Hydrocodone,58016049500,10,1
Hydrocodone,58016049502,10,1
Hydrocodone,58016049503,10,1
Hydrocodone,58016049504,10,1
Hydrocodone,58016049520,10,1
Hydrocodone,58016049528,10,1
Hydrocodone,58016049530,10,1
Hydrocodone,58016049540,10,1
Hydrocodone,58016049550,10,1
Hydrocodone,58016049556,10,1
Hydrocodone,58016049560,10,1
Hydrocodone,58016049571,10,1
Hydrocodone,58016049573,10,1
Hydrocodone,58016049580,10,1
Hydrocodone,58016049584,10,1
Hydrocodone,58016049589,10,1
Hydrocodone,58016049590,10,1
Hydrocodone,58016049591,10,1
Hydrocodone,58016049592,10,1
Hydrocodone,58016049593,10,1
Hydrocodone,58016049599,10,1
Hydrocodone,58016063200,7.5,1
Hydrocodone,58016063202,7.5,1
Hydrocodone,58016063204,7.5,1
Hydrocodone,58016063206,7.5,1
Hydrocodone,58016063209,7.5,1
Hydrocodone,58016063210,7.5,1
Hydrocodone,58016063212,7.5,1
Hydrocodone,58016063214,7.5,1
Hydrocodone,58016063215,7.5,1
Hydrocodone,58016063216,7.5,1
Hydrocodone,58016063218,7.5,1
Hydrocodone,58016063220,7.5,1
Hydrocodone,58016063221,7.5,1
Hydrocodone,58016063224,7.5,1
Hydrocodone,58016063225,7.5,1
Hydrocodone,58016063228,7.5,1
Hydrocodone,58016063230,7.5,1
Hydrocodone,58016063240,7.5,1
Hydrocodone,58016063242,7.5,1
Hydrocodone,58016063245,7.5,1
Hydrocodone,58016063250,7.5,1
Hydrocodone,58016063256,7.5,1
Hydrocodone,58016063260,7.5,1
Hydrocodone,58016063275,7.5,1
Hydrocodone,58016063280,7.5,1
Hydrocodone,58016063284,7.5,1
Hydrocodone,58016063290,7.5,1
Hydrocodone,58016063292,7.5,1
Hydrocodone,58016063299,7.5,1
Hydrocodone,58016066200,5,1
Hydrocodone,58016066202,5,1
Hydrocodone,58016066204,5,1
Hydrocodone,58016066206,5,1
Hydrocodone,58016066209,5,1
Hydrocodone,58016066210,5,1
Hydrocodone,58016066212,5,1
Hydrocodone,58016066214,5,1
Hydrocodone,58016066215,5,1
Hydrocodone,58016066216,5,1
Hydrocodone,58016066218,5,1
Hydrocodone,58016066220,5,1
Hydrocodone,58016066221,5,1
Hydrocodone,58016066224,5,1
Hydrocodone,58016066225,5,1
Hydrocodone,58016066228,5,1
Hydrocodone,58016066230,5,1
Hydrocodone,58016066240,5,1
Hydrocodone,58016066242,5,1
Hydrocodone,58016066245,5,1
Hydrocodone,58016066250,5,1
Hydrocodone,58016066256,5,1
Hydrocodone,58016066260,5,1
Hydrocodone,58016066275,5,1
Hydrocodone,58016066280,5,1
Hydrocodone,58016066284,5,1
Hydrocodone,58016066290,5,1
Hydrocodone,58016066292,5,1
Hydrocodone,58016066299,5,1
Hydrocodone,58016075800,7.5,1
Hydrocodone,58016075802,7.5,1
Hydrocodone,58016075803,7.5,1
Hydrocodone,58016075804,7.5,1
Hydrocodone,58016075812,7.5,1
Hydrocodone,58016075814,7.5,1
Hydrocodone,58016075815,7.5,1
Hydrocodone,58016075816,7.5,1
Hydrocodone,58016075820,7.5,1
Hydrocodone,58016075825,7.5,1
Hydrocodone,58016075828,7.5,1
Hydrocodone,58016075830,7.5,1
Hydrocodone,58016075835,7.5,1
Hydrocodone,58016075840,7.5,1
Hydrocodone,58016075842,7.5,1
Hydrocodone,58016075845,7.5,1
Hydrocodone,58016075850,7.5,1
Hydrocodone,58016075856,7.5,1
Hydrocodone,58016075860,7.5,1
Hydrocodone,58016075870,7.5,1
Hydrocodone,58016075873,7.5,1
Hydrocodone,58016075875,7.5,1
Hydrocodone,58016075884,7.5,1
Hydrocodone,58016075889,7.5,1
Hydrocodone,58016075890,7.5,1
Hydrocodone,58016075899,7.5,1
Hydrocodone,58016079300,10,1
Hydrocodone,58016079330,10,1
Hydrocodone,58016079360,10,1
Hydrocodone,58016079390,10,1
Hydrocodone,58016084500,10,1
Hydrocodone,58016084530,10,1
Hydrocodone,58016084560,10,1
Hydrocodone,58016084590,10,1
Hydrocodone,58016092800,7.5,1
Hydrocodone,58016092802,7.5,1
Hydrocodone,58016092830,7.5,1
Hydrocodone,58016092860,7.5,1
Hydrocodone,58016092890,7.5,1
Hydrocodone,58016094900,5,1
Hydrocodone,58016094902,5,1
Hydrocodone,58016094910,5,1
Hydrocodone,58016094912,5,1
Hydrocodone,58016094915,5,1
Hydrocodone,58016094920,5,1
Hydrocodone,58016094925,5,1
Hydrocodone,58016094930,5,1
Hydrocodone,58016094940,5,1
Hydrocodone,58016094950,5,1
Hydrocodone,58016094960,5,1
Hydrocodone,58016094970,5,1
Hydrocodone,58016094980,5,1
Hydrocodone,58016094990,5,1
Hydrocodone,58016095000,10,1
Hydrocodone,58016095002,10,1
Hydrocodone,58016095010,10,1
Hydrocodone,58016095020,10,1
Hydrocodone,58016095030,10,1
Hydrocodone,58016095040,10,1
Hydrocodone,58016095050,10,1
Hydrocodone,58016095060,10,1
Hydrocodone,58016095090,10,1
Hydrocodone,58016407200,10,1
Hydrocodone,58016407230,10,1
Hydrocodone,58016645000,10,1
Hydrocodone,58016645060,10,1
Hydrocodone,58016645090,10,1
Hydrocodone,58407003301,10,1
Hydrocodone,58407009101,5,1
Hydrocodone,58469039143,5,1
Hydrocodone,58469391430,5,1
Hydrocodone,58809083801,5,1
Hydrocodone,58864027103,5,1
Hydrocodone,58864027110,5,1
Hydrocodone,58864027116,5,1
Hydrocodone,58864027120,5,1
Hydrocodone,58864027125,5,1
Hydrocodone,58864027130,5,1
Hydrocodone,58864069915,7.5,1
Hydrocodone,58864069916,7.5,1
Hydrocodone,58864069920,7.5,1
Hydrocodone,59010041501,5,1
Hydrocodone,59310010310,5,1
Hydrocodone,59441013805,5,1
Hydrocodone,59630091110,10,1
Hydrocodone,59630091210,5,1
Hydrocodone,59630091310,7.5,1
Hydrocodone,59743001101,5,1
Hydrocodone,59785020010,5,1
Hydrocodone,59911592601,5,1
Hydrocodone,59911592602,5,1
Hydrocodone,59911592701,7.5,1
Hydrocodone,59911592702,7.5,1
Hydrocodone,59911592801,7.5,1
Hydrocodone,59911592802,7.5,1
Hydrocodone,59911592901,7.5,1
Hydrocodone,59911592902,7.5,1
Hydrocodone,59911593001,10,1
Hydrocodone,60346001206,7.5,1
Hydrocodone,60346001210,7.5,1
Hydrocodone,60346001212,7.5,1
Hydrocodone,60346001220,7.5,1
Hydrocodone,60346001230,7.5,1
Hydrocodone,60346001240,7.5,1
Hydrocodone,60346010610,7.5,1
Hydrocodone,60346010612,7.5,1
Hydrocodone,60346010615,7.5,1
Hydrocodone,60346010620,7.5,1
Hydrocodone,60346010624,7.5,1
Hydrocodone,60346010628,7.5,1
Hydrocodone,60346010630,7.5,1
Hydrocodone,60346010660,7.5,1
Hydrocodone,60346044206,5,1
Hydrocodone,60346044210,5,1
Hydrocodone,60346044212,5,1
Hydrocodone,60346044215,5,1
